"BOM Report: LOOD-17747-001, Last Modified: 2025-02-14-07-12-34",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BOM Usage Attributes,,,,,,,,,,,,,,,,,,,Naming,,,,,,,,,,,,,,Part Attributes,,,,,,,,,,,,,,,,,,,,CAD Physical Attributes,,,,Physical Attributes,,,,,,CS Attributes,,System Attributes,,,
Level,Number,Type,Assembly Mode,L-Nr.,QTY,Unit,Version,Name,State,Service Level,"Food
Contact ",Delivery Item,"Lifetime 
Quantity",Lifetime Unit,"SPC 
Termination","Initial Spare 
Part Indic.","Operating
Element","BOM
Class 1",Name EN-US,Description EN-US,Name DE-DE,Description DE-DE,Name ZH-CHS,Description ZH-CHS,Name ES-ES,Description ES-ES,Name PT-BR,Description PT-BR,Name CS-CZ,Description CS-CZ,Name VI-VN,Description VI-VN,Partner,Source,Comparable,Configuration Type,Default Unit,"Reuse Not 
Allowed","Old Part 
Number",Machine Type,Basic Material,"Basic Material
Description",Supersede,Superseded By,"Material 
Group","No Logistic 
Relevance","Dangerous
Good Indic.",ClassNode,Legacy ID,Electrical Relevant,Doc Classification,Stackability,Delta X [mm],Delta Y [mm],Delta Z [mm],Mass [kg],Length [mm],Width [mm],Height [mm],Netto Weight,Weight Unit,Weight Code,Service Life in Months:,SPC Termination Part:,Design Office,Division,Modified by,Last Modified
0,LOOD-17747-001,Part,Separable,,,,01.2 ,electrical equipment EOS 1550 3018613030,Released,,,,,,,,,,electrical equipment EOS 1550 3018613030,electrical equipment EOS 1550 3018613030,elektrisches Betriebsmittel EOS 1550,"elektrisches Betriebsmittel EOS 1550
 3018613030",电气设备 EOS 1550 3018613030,电气设备 EOS 1550 3018613030,equipo eléctrico EOS 1550 3018613030,equipo eléctrico EOS 1550 3018613030,equipamento elétrico EOS 1550 3018613030,equipamento elétrico EOS 1550 3018613030,elektrické za?ízení EOS 1550 3018613030,elektrické za?ízení EOS 1550 3018613030,thi?t b? ?i?n EOS 1550 3018613030,thi?t b? ?i?n EOS 1550 3018613030,"BLOA, BLOC",Buy,LOOA-18015-001,,each,,,,_,,,,22105200,false,,,,,,,,,,750,,,,,kg,Specified,,,M60 M2M LO BLOC,OP Optics (B8),"Yang, Ian",2025-02-14 07:12:34
1,LOOD-17906-001,Part,Separable,1,1,each,03.1 ,circuit diagram EOS 1550 3018613030,Released,,,,,,,,,,circuit diagram EOS 1550 3018613030,circuit diagram EOS 1550 3018613030,Stromlaufplan EOS 1550 3018613030,Stromlaufplan EOS 1550 3018613030,线路图 EOS 1550 3018613030,线路图 EOS 1550 3018613030,esquema de circuitos EOS 1550,"esquema de circuitos EOS 1550
 3018613030",esquema do circuito elétrico EOS 1550,"esquema do circuito elétrico EOS 1550
 3018613030",schéma zapojení EOS 1550 3018613030,schéma zapojení EOS 1550 3018613030,s? ?? m?ch EOS 1550 3018613030,s? ?? m?ch EOS 1550 3018613030,BLOC,Buy,,,each,,,,,,,,22105200,false,,,,,,,,,,0.01,,,,,kg,Specified,,,M60 M2M LO BLOC,OP Optics (B8),"Yang, Ian",2025-03-03 11:42:43
1,LOOA-15311-001,Part,Separable,2,1,each,02.2 ,nameplate for cabinet Buhler,Released,,,,,,,,,,nameplate for cabinet Buhler,nameplate for cabinet Buhler,Typenschild zum Schrank Buhler,Typenschild zum Schrank Buhler,铭牌   机箱 Buhler,铭牌   机箱 Buhler,placa de identificación para armario,"placa de identificación para armario
 Buhler",placa de identifica??o para armário,"placa de identifica??o para armário
 Buhler",,,bi?n l??c t? ?? t? Buhler,bi?n l??c t? ?? t? Buhler,"BLOA, BLOC",Buy,102134026,,each,,102210549,,,,,,,false,,,,,,,0,0,0,0,,,,,kg,Specified,,,M60 M2M LO BLOC,OP Optics (B8),"Yan, Leo",2019-03-15 09:02:57
1,LOOD-17907-001,Part,Separable,3,1,each,00.2 ,nameplate info EOS,Released,,,,,,,,,,nameplate info EOS,nameplate info EOS,Typenschild Info EOS,Typenschild Info EOS,铭牌 信息 EOS,铭牌 信息 EOS,placa de identificación información EOS,placa de identificación información EOS,placa de identifica??o informa??o EOS,placa de identifica??o informa??o EOS,typov? ?títek informace EOS,typov? ?títek informace EOS,bi?n l??c t? th?ng tin EOS,bi?n l??c t? th?ng tin EOS,BLOC,Buy,,,each,,,,,,,,22105200,false,,,,,,,,,,0.01,,,,,kg,Specified,,,M60 M2M LO BLOC,OP Optics (B8),"Yang, Ian",2024-12-06 08:40:45
1,LOOD-12358-001,Part,Separable,5,1,each,01.2 ,F-BOM Ares =A00,Released,,,,,,,,,A00,F-BOM Ares =A00,F-BOM Ares =A00,F-BOM Ares =A00,F-BOM Ares =A00,F-BOM Ares =A00,F-BOM Ares =A00,F-BOM Ares =A00,F-BOM Ares =A00,F-BOM Ares =A00,F-BOM Ares =A00,F-BOM Ares =A00,F-BOM Ares =A00,F-BOM Ares =A00,F-BOM Ares =A00,"BLOA, BLOC",Buy,,,each,,,,,,,,22105200,false,,,,,,,,,,0.01,,,,,kg,Specified,,,M60 M2M LO BLOC,OP Optics (B8),"Li Dongdong, DAUTO",2022-07-12 03:25:55
2,LONT-18554-001,Standard Part,Component,10,1,each,00.2 ,Cabinet TS8605   600x2000x500,Released,,,,,,,,-10,+K1,Cabinet TS8605   600x2000x500,"Cabinet TS8605   600x2000x500   Rittal Order number TS8605.500  Special lacquering Cabinet System    Dimensions WxHxT  : 600x2000x500mm  Cabinet frame     : 1,5mm sheet  steel Doors       : 2,0mm sheet  steel Back wal    : 1,5mm Sheet steel  Mounting plate    : 3,0mm Sheet steel / galvanized  Floor panel       : 1,5mm sheet steel  Colour            : RAL7035 / Special lacquering  Protection type   : IP55  / NEMA 12  ",Topschrank TS8    600x2000x500   RAL7035,"TH-TEXT
Rittal Bestell-Nr. TS8605.600
                   Sonderlackierung
------------------------------------------------------------
TT-TEXT
Topschrank-System
Abmessungen BxHxT : 600x2000x500mm
Schrankgerüst     : 1,5mm Stahlblech
Türen             : 2,0mm Stahlblech
Rückwand          : 1,5mm Stahlblech
Montageplatte     : 3,0mm Stahlblech / verzinkt
Bodenbleche       : 1,5mm Stahlblech
Farbe             : RAL7035 / Sonderlackierung
*** Text shortened by migration! ***",,"机柜 TS8605   600x2000x500威图 订单号 TS8605.500                   特种
涂层机柜系统尺寸 宽x高x深： 600x2000x500mm机柜框： 1.5mm 钢板柜门：
2.0mm 钢板后墙： 1.5mm 钢板安装板： 3.0mm 钢板 / 镀锌地面板： 1.5mm 钢板
颜色： RAL7035 / 特种涂层保护类型： IP55  / NEMA 12
",,,,,,,,,"BLOC, BLOA",Buy,,,each,false,10105010,,,,,,,false,Dangerous Good No / Hazardous Good No,K01068,,,,,,,,0.01,,,,,kg,Specified,,,S13 Standardization  BLOA,OP Optics (B8),"Zandonella, Romolo",2023-10-09 02:24:47
2,LONT-18555-001,Standard Part,Component,20,2,each,00.1 ,Seitenwand asym.TS8105  500X2000 RAL7035,Released,,,,,,,,-20,+K1,Side Panel TS8105 500x2000       RAL7035,Side Panel TS8105 500x2000       RAL7035   ,Seitenwand asym.TS8105  500X2000 RAL7035,Seitenwand asym.TS8105  500X2000 RAL7035   ,,"侧面板 TS8105 500x2000       RAL7035
",,,,,,,,,"BLOC, BLOA",Buy,,,each,false,102098318,,,,,,,false,Dangerous Good No / Hazardous Good No,,,,,,,,,0.1,,,,,kg,Specified,,,S13 Standardization  BLOA,OP Optics (B8),"ST, Import",2017-08-07 09:27:36
2,LONT-18556-001,Standard Part,Component,30,1,each,00.6 ,switch cabinet 1200x2000x600,Closed Out,,,,,,,,-30,+K1,switch cabinet 1200x2000x600,"switch cabinet 1200x2000x600
 manufacturer Rittal
order no. TS8206.500  
RAL 7035
dimensions 1200x2000x600 
with mounting plate galvanized
weight 195kg",Schaltschrank 1200x2000x600,"Schaltschrank 1200x2000x600
 Hersteller Rittal
Bestell-Nr. TS8206.500  
RAL 7035
Abmessungen 1200x2000x600 
mit Montageplatte verzinkt
Gewicht 195kg",控制柜 1200x2000x600,"控制柜 1200x2000x600
 制造商 Rittal
订单号 TS8206.500  
劳尔色卡 7035
尺寸 1200x2000x600 
  电器安装板 镀锌
砝码 195kg",armario eléctrico 1200x2000x600,"armario eléctrico 1200x2000x600
 fabricante Rittal
n.? de pedido TS8206.500  
RAL 7035
dimensiones 1200x2000x600 
con placa de montaje galvanizado
pesa 195kg",painel elétrico 1200x2000x600,"painel elétrico 1200x2000x600
 fabricante Rittal
n.° de encomenda TS8206.500  
RAL 7035
dimens?es 1200x2000x600 
com placa de montagem galvanizado
peso 195kg",?ídící rozvadě? 1200x2000x600,"?ídící rozvadě? 1200x2000x600
 v?robce Rittal
obj. ?. TS8206.500  
RAL 7035
rozměry 1200x2000x600 
s montá?ní deska pozinkovan?
záva?í 195kg",t? c?u dao 1200x2000x600,"t? c?u dao 1200x2000x600
 nhà s?n xu?t Rittal
??n hàng s? TS8206.500  
RAL 7035
kích th??c 1200x2000x600 
v?i b?ng l?p thi?t b? ?i?n ???c m? k?m
tr?ng l??ng 195kg",Corporate,Buy,,,each,false,10107627,,,,,HAZF-59993-001,27180100,false,Dangerous Good No / Hazardous Good No,K01077,,,,,,,,195,,,,,kg,Specified,,,S13 Standardization  BLOA,OP Optics (B8),"ST, Import",2024-01-31 08:13:18
2,LONT-16878-001,Part,Component,40,1,each,00.1 ,"Abdeckhaube mit Tür TS8609 H=2000, B=600",Released,,,,,,,,-40,+K1,"Cover cap with door        H=2000, B=600","Cover cap with door        H=2000, B=600   RITTAL          Order number: TS8609.030  Cover cap with door in RAL7035  ","Abdeckhaube mit Tür TS8609 H=2000, B=600","Abdeckhaube mit Tür TS8609 H=2000, B=600   TH-TEXT  RITTAL          Best.Nr.: TS8609.030  ------------------------------------------------------------  TT-TEXT  Abdeckhaube mit Tür in RAL7035  ------------------------------------------------------------  ",,"带门罩盖        H=2000，B=600
威图订单号： TS8609.030
带门罩盖 RAL7035
",,,,,,,,,"BLOC, BLOA",Buy,,,each,false,102050294,,,,,,,false,,,,,,,,,,0.01,,,,,kg,Specified,,,M59 M2M LO BLOA,OP Optics (B8),"ST, Import",2017-10-30 08:21:12
2,UNE -14953-101,Standard Part,Component,50,1,each,02.2 ,base element  600 / 100,Released,,,,,,,,-50,+K1,base element  600 / 100,"base element  600 / 100
in front /  at the back
art. no. 8601.600",Sockelelement  600 / 100,"Sockelelement  600 / 100
vorn /  hinten
Art.-Nr. 8601.600",底座元件  600 / 100,"底座元件  600 / 100
前面 /  后面
产品编号 8601.600",elemento de la base  600 / 100,"elemento de la base  600 / 100
delante /  detrás
n.? art. 8601.600",elemento de base  600 / 100,"elemento de base  600 / 100
dianteiro /  atrás
número do artigo 8601.600",díl podstavce  600 / 100,"díl podstavce  600 / 100
vp?edu /  vzadu
?. polo?ky 8601.600",chi ti?t l?p b?  600 / 100,"chi ti?t l?p b?  600 / 100
??ng tr??c /  ? phía xa
m? s? s?n ph?m 8601.600",BBAN,Buy,,,each,,,,,,,UNE -14955-101,27180100,false,Dangerous Good No / Hazardous Good No,K01099,ST0001900922,,,,,,,4.8,,600,100,4.168,kg,Specified,,BELOW,S01 Standardization  BUZ,ML Insourcing (U9),"Hiremath, Nandini",2024-07-23 08:48:58
