id,connNo,source,target,color,isCable,isInPanel,connType,voltage,current,resistance
1,1,=A01+K1.H2-Q1:D2,=A01+K1.B1-K3:14,,0,1,外部连接,0.0,0.0,0.0
2,2,=A01+K1.H2-W0:L1,=A01+K1.H2-Q1:T1,,0,1,外部连接,0.0,0.0,0.0
3,3,=A01+K1.H2-F0:2,=A01+K1.H2-Q1:L1,,0,1,外部连接,0.0,0.0,0.0
4,4,=A01+K1.H2-Q1:L1,=A01+K1.H2-Q2:L1,,0,1,外部连接,0.0,0.0,0.0
5,5,=A01+K1.H2-W0:L2,=A01+K1.H2-Q1:T2,,0,1,外部连接,0.0,0.0,0.0
6,6,=A01+K1.H2-F0:4,=A01+K1.H2-Q1:L2,,0,1,外部连接,0.0,0.0,0.0
7,7,=A01+K1.H2-Q1:L2,=A01+K1.H2-Q2:L2,,0,1,外部连接,0.0,0.0,0.0
8,8,=A01+K1.H2-W0:L3,=A01+K1.H2-Q1:T3,,0,1,外部连接,0.0,0.0,0.0
9,9,=A01+K1.H2-Q1:L3,=A01+K1.H2-F0:6,,0,1,外部连接,0.0,0.0,0.0
10,10,=A01+K1.H2-Q1:L3,=A01+K1.H2-Q2:L3,,0,1,外部连接,0.0,0.0,0.0
11,11,=A01+K1.H2-X1:N:2,=A01+K1.H2-X1:N:1,,0,1,外部连接,0.0,0.0,0.0
12,12,=A01+K1.H2-X1:N:2,=A02+K1.H2-X5:N:1,,0,1,外部连接,0.0,0.0,0.0
14,15,=A01+K1.H2-X1:PE:4,=A02+K1.H2-W20:SE,,0,1,外部连接,0.0,0.0,0.0
15,17,=A01+K1.H2-X1:PE:2,=A02+K1.H2-X6:PE:1,,0,1,外部连接,0.0,0.0,0.0
16,18,=A01+K1.H2-Q1:3.14,=A01+K1.H2-G1:SEC:31,,0,1,外部连接,0.0,0.0,0.0
17,19,=A01+K1.H2-Q1:3.13,=A01+K1.H2-Q1:D1,,0,1,外部连接,0.0,0.0,0.0
18,20,=A01+K1.H2-G1:SEC:31,=A01+K1.H2-X1:PE:1,,0,1,外部连接,0.0,0.0,0.0
19,21,=A01+K1.H2-X1:PE:1,=A01+K1.H2-G1:PRI:PE,,0,1,外部连接,0.0,0.0,0.0
20,22,=A01+K1.H2-Q2:T1,=A01+K1.H2-G1:PRI:1,,0,1,外部连接,0.0,0.0,0.0
21,23,=A01+K1.H2-G1:SEC:32,=A02+K1.B1-X20-X20.5F:20,,0,1,外部连接,0.0,0.0,0.0
22,24,=A01+K1.H2-Q2:T2,=A01+K1.H2-G1:PRI:2,,0,1,外部连接,0.0,0.0,0.0
23,25,=A01+K1.H2-Q2:T3,=A01+K1.H2-X1:5:3,,0,1,外部连接,0.0,0.0,0.0
24,26,=A01+K1.H2-X1:5:3,=A01+K1.H2-X1:7:3,,0,1,外部连接,0.0,0.0,0.0
25,27,=A01+K1.B1-K3:11,=A01+K1.H2-X1:3:4,,0,1,外部连接,0.0,0.0,0.0
26,28,=A01+K1.H2-X1:2:5,=A02+K1.B1-A3:13,,0,1,外部连接,0.0,0.0,0.0
27,29,=A01+K1.G2-S1:4,=A01+K1.H2-X1:2:2,,0,1,外部连接,0.0,0.0,0.0
28,30,=A01+K1.H2-X1:1:4,=A01+K1.G2-S1:3,,0,1,外部连接,0.0,0.0,0.0
29,31,=A01+K1.B1-W7(-P1):P1:1,=A01+K1.H2-X1:1:3,,0,1,外部连接,0.0,0.0,0.0
30,32,=A01+K1.G2-S1:2,=A01+K1.H2-X1:3:3,,0,1,外部连接,0.0,0.0,0.0
31,33,=A01+K1.G2-S1:1,=A01+K1.H2-X1:4:2,,0,1,外部连接,0.0,0.0,0.0
32,34,=A01+K1.H2-X1:4:5,=A02+K1.B1-X20-X20.5F:19,,0,1,外部连接,0.0,0.0,0.0
33,35,=A02+K1.B1-X20-X20.5F:18,=A02+K1.B1-A3:14,,0,1,外部连接,0.0,0.0,0.0
36,38,=A01+K1.B1-W7(-P1):P1:1,=A02+K1.B1-X20-X20.5M:17,,0,1,外部连接,0.0,0.0,0.0
39,45,=A01+K1.H2-X1:5:4,=A01+K1.B1-X20:L,,0,1,外部连接,0.0,0.0,0.0
40,46,=A01+K1.H2-X1:6:5,=A01+K1.B1-X20:N,,0,1,外部连接,0.0,0.0,0.0
41,47,=A02+K1.H2-X5:N:5,=A01+K1.H2-X1:6:2,,0,1,外部连接,0.0,0.0,0.0
42,48,=A01+K1.H2-X1:PE:1,=A01+K1.B1-X20:PE,,0,1,外部连接,0.0,0.0,0.0
43,49,=A01+K1.H2-X1:7:4,=A01+K1.E1-E1:L,,0,1,外部连接,0.0,0.0,0.0
44,50,=A01+K1.H2-X1:PE:1,=A01+K1.E1-E1:PE,,0,1,外部连接,0.0,0.0,0.0
45,51,=A01+K1.H2-X1:8:5,=A01+K1.E1-E1:N,,0,1,外部连接,0.0,0.0,0.0
46,52,=A02+K1.H2-X5:N:5,=A01+K1.H2-X1:8:2,,0,1,外部连接,0.0,0.0,0.0
47,53,=A01+K1.B1-W7(-P1):P1:1,=A01+K1.H1-G2-L+,,0,1,外部连接,0.0,0.0,0.0
48,54,=A01+K1.H2-F1:2,=A01+K1.H1-G2-L,,0,1,外部连接,0.0,0.0,0.0
49,55,=A01+K1.H2-X1:9:4,=A01+K1.H2-F1:1,,0,1,外部连接,0.0,0.0,0.0
50,56,=P01+K1.G1-E1:X4:L,=A01+K1.H2-X1:9:3,,0,1,外部连接,0.0,0.0,0.0
51,57,=A01+K1.H2-X1:10:5,=A01+K1.H1-G2-N,,0,1,外部连接,0.0,0.0,0.0
52,58,=P01+K1.G1-E1:X4:N,=A01+K1.H2-X1:10:2,,0,1,外部连接,0.0,0.0,0.0
53,59,=A01+K1.H1-G2-L-,=A01+K1.B1-W7(-P2):P2:1,,0,1,外部连接,0.0,0.0,0.0
54,60,=A01+K1.H2-X1:PE:1,=A01+K1.H1-G2-PE,,0,1,外部连接,0.0,0.0,0.0
55,61,=A02+K1.H2-X6:2:2,=A01+K1.H1-G2-PE:PE,,0,1,外部连接,0.0,0.0,0.0
56,62,=A01+K1.H1-G2-L-,=A02+K1.H2-X6:3:1,,0,1,外部连接,0.0,0.0,0.0
57,63,=A01+K1.H2-X1:11:4,=A02+K1.B1-A5:1,,0,1,外部连接,0.0,0.0,0.0
58,64,=A01+K1.H2-X1:11:3,=A02+K1.H2-Q1:T1,,0,1,外部连接,0.0,0.0,0.0
59,65,=A02+K1.H2-Q1:T1,=A02+K1.H1-G2:L1,,0,1,外部连接,0.0,0.0,0.0
60,66,=A01+K1.H2-X1:12:5,=A02+K1.B1-A5:2,,0,1,外部连接,0.0,0.0,0.0
61,67,=A01+K1.H2-X1:12:2,=A02+K1.H2-Q1:T2,,0,1,外部连接,0.0,0.0,0.0
62,68,=A02+K1.H2-Q1:T2,=A02+K1.H1-G2:L2,,0,1,外部连接,0.0,0.0,0.0
63,69,=A01+K1.H2-X1:13:4,=A02+K1.B1-A5:3,,0,1,外部连接,0.0,0.0,0.0
64,70,=A01+K1.H2-X1:13:3,=A02+K1.H2-Q1:T3,,0,1,外部连接,0.0,0.0,0.0
65,71,=A02+K1.H2-Q1:T3,=A02+K1.H1-G2:L3,,0,1,外部连接,0.0,0.0,0.0
66,72,=A01+K1.H2-X1:15:4,=A02+K1.B1-A5:4,,0,1,外部连接,0.0,0.0,0.0
67,73,=A01+K1.H2-X1:14:5,=A01+K1.H2-X1:15:3,,0,1,外部连接,0.0,0.0,0.0
68,74,=A01+K1.H2-X1:16:5,=A02+K1.B1-A5:5,,0,1,外部连接,0.0,0.0,0.0
69,75,=A01+K1.H2-T1:-L1i,=A01+K1.H2-X1:16:2,,0,1,外部连接,0.0,0.0,0.0
70,76,=A01+K1.H2-T1:-L1k,=A01+K1.H2-T1:-L2k,,0,1,外部连接,0.0,0.0,0.0
71,77,=A01+K1.H2-T1:-L2k,=A01+K1.H2-T1:-L3k,,0,1,外部连接,0.0,0.0,0.0
72,78,=A01+K1.H2-T1:-L3k,=A01+K1.H2-X1:19:3,,0,1,外部连接,0.0,0.0,0.0
73,79,=A01+K1.H2-X1:17:4,=A02+K1.B1-A5:6,,0,1,外部连接,0.0,0.0,0.0
74,80,=A01+K1.H2-T1:-L2i,=A01+K1.H2-X1:17:3,,0,1,外部连接,0.0,0.0,0.0
75,81,=A01+K1.H2-X1:18:5,=A02+K1.B1-A5:7,,0,1,外部连接,0.0,0.0,0.0
76,82,=A01+K1.H2-T1:-L3i,=A01+K1.H2-X1:18:2,,0,1,外部连接,0.0,0.0,0.0
77,83,=A01+K1.H2-X1:19:4,=A02+K1.B1-A5:8,,0,1,外部连接,0.0,0.0,0.0
78,84,=A01+K1.H2-K1:A2,=A02+K1.B1-W5(-P2):P2:1,,0,1,外部连接,0.0,0.0,0.0
79,85,=A02+K1.B1-K20:34,=A01+K1.H2-K1:A1,,0,1,外部连接,0.0,0.0,0.0
80,86,=A01+K1.H2-K1:A1,=A01+K1.H2-K1:13,,0,1,外部连接,0.0,0.0,0.0
81,87,=F01+K1.B1-K1:64,=A02+K1.B1-K20:33,,0,1,外部连接,0.0,0.0,0.0
82,88,=A02+K1.B1-W5(-P1):P1,=F01+K1.B1-K1:63,,0,1,外部连接,0.0,0.0,0.0
83,89,=A01+K1.H2-K2:A2,=A02+K1.B1-W5(-P2):P2:1,,0,1,外部连接,0.0,0.0,0.0
84,90,=A01+K1.H2-K1:14,=A01+K1.H2-K2:A1,,0,1,外部连接,0.0,0.0,0.0
85,91,=A01+K1.H2-K2:44,=Q15+K1.H2-F11:14,,0,1,外部连接,0.0,0.0,0.0
86,92,=A01+K1.H2-K2:44,=Q15+K1.H2-F12:13,,0,1,外部连接,0.0,0.0,0.0
87,93,=A01+K1.H2-K2:44,=Q15+K1.H2-F13:13,,0,1,外部连接,0.0,0.0,0.0
88,94,=A01+K1.H2-K2:44,=Q15+K1.H2-F14:14,,0,1,外部连接,0.0,0.0,0.0
89,95,=A01+K1.H2-K2:44,=Q01+K1.H2-Q1:13,,0,1,外部连接,0.0,0.0,0.0
90,96,=A01+K1.H2-K1:44,=A01+K1.H2-K2:43,,0,1,外部连接,0.0,0.0,0.0
91,97,=A02+K1.B1-W5(-P1):P1:1,=A01+K1.H2-K1:43,,0,1,外部连接,0.0,0.0,0.0
92,98,=A01+K1.B1-K3:A2,=A02+K1.B1-W5(-P2):P2:2,,0,1,外部连接,0.0,0.0,0.0
93,99,=A02+K1.B1-A1:1,=A01+K1.B1-K3:A1,,0,1,外部连接,0.0,0.0,0.0
94,100,=A01+K1.B1-K3:21,=A02+K1.B1-A3:15,,0,1,外部连接,0.0,0.0,0.0
95,101,=A01+K1.B1-W7(-P1):P1:2,=A01+K1.B1-K3:22,,0,1,外部连接,0.0,0.0,0.0
96,102,=A01+K1.H2-W0:L1,=A02+K1.H2-W1:1L1,,0,1,外部连接,0.0,0.0,0.0
97,103,=A01+K1.H2-W0:L2,=A02+K1.H2-W1:1L2,,0,1,外部连接,0.0,0.0,0.0
98,104,=A01+K1.H2-W0:L3,=A02+K1.H2-W1:1L3,,0,1,外部连接,0.0,0.0,0.0
99,105,=A01+K1.H2-K1:2,=A02+K1.H2-W2:2L1,,0,1,外部连接,0.0,0.0,0.0
100,106,=A01+K1.H2-W0:L1,=A01+K1.H2-K1:1,,0,1,外部连接,0.0,0.0,0.0
101,107,=A01+K1.H2-K1:4,=A02+K1.H2-W2:2L2,,0,1,外部连接,0.0,0.0,0.0
102,108,=A01+K1.H2-W0:L2,=A01+K1.H2-K1:3,,0,1,外部连接,0.0,0.0,0.0
103,109,=A01+K1.H2-K1:6,=A02+K1.H2-W2:2L3,,0,1,外部连接,0.0,0.0,0.0
104,110,=A01+K1.H2-W0:L3,=A01+K1.H2-K1:5,,0,1,外部连接,0.0,0.0,0.0
105,111,=A01+K1.H2-W0:L1,=A02+K1.H2-W3:3L1,,0,1,外部连接,0.0,0.0,0.0
106,112,=A01+K1.H2-W0:L2,=A02+K1.H2-W3:3L2,,0,1,外部连接,0.0,0.0,0.0
107,113,=A01+K1.H2-W0:L3,=A02+K1.H2-W3:3L3,,0,1,外部连接,0.0,0.0,0.0
108,114,=A01+K1.H2-K2:2,=A02+K1.H2-W4:1L1,,0,1,外部连接,0.0,0.0,0.0
109,115,=A01+K1.H2-W0:L1,=A01+K1.H2-K2:1,,0,1,外部连接,0.0,0.0,0.0
110,116,=A01+K1.H2-K2:4,=A02+K1.H2-W4:1L2,,0,1,外部连接,0.0,0.0,0.0
111,117,=A01+K1.H2-W0:L2,=A01+K1.H2-K2:3,,0,1,外部连接,0.0,0.0,0.0
112,118,=A01+K1.H2-K2:6,=A02+K1.H2-W4:1L3,,0,1,外部连接,0.0,0.0,0.0
113,119,=A01+K1.H2-W0:L3,=A01+K1.H2-K2:5,,0,1,外部连接,0.0,0.0,0.0
114,120,=A02+K1.H2-W2:2L3,=A02+K1.H2-W2.1:2L3,,0,1,外部连接,0.0,0.0,0.0
115,121,=A02+K1.H2-W2:2L2,=A02+K1.H2-W2.1:2L2,,0,1,外部连接,0.0,0.0,0.0
116,122,=A02+K1.H2-W2:2L1,=A02+K1.H2-W2.1:2L1,,0,1,外部连接,0.0,0.0,0.0
117,123,=A02+K1.H1-G2:+V,=A02+K1.B1-V1(0):1,,0,1,外部连接,0.0,0.0,0.0
118,124,=A02+K1.H2-Q1:L1,=A02+K1.H2-W1:1L1,,0,1,外部连接,0.0,0.0,0.0
119,125,=A02+K1.H2-W1:1L2,=A02+K1.H2-Q1:L2,,0,1,外部连接,0.0,0.0,0.0
120,126,=A02+K1.H2-W1:1L3,=A02+K1.H2-Q1:L3,,0,1,外部连接,0.0,0.0,0.0
121,127,=A02+K1.H1-G2:-V,=A02+K1.B1-W6(-P2):P2:1,,0,1,外部连接,0.0,0.0,0.0
122,128,=A02+K1.H2-X6:PE:2,=A02+K1.H1-G2:PE,,0,1,外部连接,0.0,0.0,0.0
123,129,=A02+K1.H1-G2:-V',=A02+K1.H2-X6:PE:1,,0,1,外部连接,0.0,0.0,0.0
124,130,=A02+K1.H2-F2:2,=A02+K1.B1-X200:L,,0,1,外部连接,0.0,0.0,0.0
125,131,=A01+K1.H2-W0:L1,=A02+K1.H2-F2:1,,0,1,外部连接,0.0,0.0,0.0
126,132,=A02+K1.H2-X5:2:1,=A02+K1.B1-X200:N,,0,1,外部连接,0.0,0.0,0.0
127,133,=A02+K1.H2-X6:4:1,=A02+K1.B1-X200:PE,,0,1,外部连接,0.0,0.0,0.0
128,134,=A02+K1.H1-K1:2,=A02+K1.A1-X21:L,,0,1,外部连接,0.0,0.0,0.0
