connection_number,source_name,source_location,source_type,target_name,target_location,target_type,wire_color
1,=Q15+K1.B1-K3:14,,panel,=A01+K1.H2-Q1:D2,,panel,OG
1,=A01+K1.H2-Q1:D2,,panel,=Q15+K1.B1-K3:14,,panel,OG
10,=V01+K1.H2-Q2:L3,,panel,=V01+K1.H2-Q1:L3,,panel,BK
10,=V01+K1.H2-Q1:L3,,panel,=V01+K1.H2-Q2:L3,,panel,BK
100,=V01+K1.B1-A3:15,,PLC,=A01+K1.B1-K3:21,,panel,BU
100,=A01+K1.B1-K3:21,,panel,=V01+K1.B1-A3:15,,PLC,BU
1000,=Q01+K1.B1-X9:41:3,,panel,=V01+K1.B1-K6:14,,panel,BU
1000,=V01+K1.B1-K6:14,,panel,=Q01+K1.B1-X9:41:3,,panel,BU
1001,=Q01+K1.B1-A9:10,,PLC,=Q01+K1.B1-X9:41:3,,panel,BU
1001,=Q01+K1.B1-X9:41:3,,panel,=Q01+K1.B1-A9:10,,PLC,BU
1003,=A02+K1.B1-X21-X21.4F:6,,panel,=V01+K1.B1-W5(-P2):P2,,panel,BU
1003,=V01+K1.B1-W5(-P2):P2,,panel,=A02+K1.B1-X21-X21.4F:6,,panel,BU
1005,=A02+K1.B1-X21-X21.4F:7,,panel,=V01+K1.B1-W5(-P1):P1,,panel,BU
1005,=V01+K1.B1-W5(-P1):P1,,panel,=A02+K1.B1-X21-X21.4F:7,,panel,BU
1007,=A02+K1.B1-X21-X21.4F:8,,panel,=Q01+K1.B1-A9:2,,PLC,WH
1007,=Q01+K1.B1-A9:2,,PLC,=A02+K1.B1-X21-X21.4F:8,,panel,WH
1009,=A02+K1.B1-X21-X21.4F:9,,panel,=Q01+K1.B1-A9:1,,PLC,GN
1009,=Q01+K1.B1-A9:1,,PLC,=A02+K1.B1-X21-X21.4F:9,,panel,GN
101,=A01+K1.B1-K3:22,,panel,=A01+K1.B1-W7(-P1):P1:2,,panel,BU
101,=A01+K1.B1-W7(-P1):P1:2,,panel,=A01+K1.B1-K3:22,,panel,BU
1011,=A02+K1.B1-X21-X21.4F:10,,panel,=Q01+K1.B1-A9:3,,PLC,BN
1011,=Q01+K1.B1-A9:3,,PLC,=A02+K1.B1-X21-X21.4F:10,,panel,BN
1015,=A02+S1-A21-X1:3,,PLC,=A02+K1.B1-X20-X20.1M:3,,panel,GN
1015,=A02+K1.B1-X20-X20.1M:3,,panel,=A02+S1-A21-X1:3,,PLC,GN
1016,=A02+K1.B1-X20-X20.1F:3,,panel,=Q01+K1.B1-A7:13,,PLC,BU
1016,=Q01+K1.B1-A7:13,,PLC,=A02+K1.B1-X20-X20.1F:3,,panel,BU
1017,=A02+S1-A21-X1:4,,PLC,=A02+K1.B1-X20-X20.1M:4,,panel,YE
1017,=A02+K1.B1-X20-X20.1M:4,,panel,=A02+S1-A21-X1:4,,PLC,YE
1018,=A02+K1.B1-X20-X20.1F:4,,panel,=Q01+K1.B1-A7:14,,PLC,BU
1018,=Q01+K1.B1-A7:14,,PLC,=A02+K1.B1-X20-X20.1F:4,,panel,BU
1019,=A02+K1.B1-X21-X21.3F:22,,panel,=Q01+K1.B1-W5(-P1):X3:3,,panel,BU
1019,=Q01+K1.B1-W5(-P1):X3:3,,panel,=A02+K1.B1-X21-X21.3F:22,,panel,BU
102,=A02+K1.H2-W1:1L1,,panel,=A01+K1.H2-W0:L1,,panel,BK
102,=A01+K1.H2-W0:L1,,panel,=A02+K1.H2-W1:1L1,,panel,BK
1021,=V01+K1.B1-A7:6,,PLC,=A02+K1.B1-X21-X21.3F:23,,panel,BU
1021,=A02+K1.B1-X21-X21.3F:23,,panel,=V01+K1.B1-A7:6,,PLC,BU
1023,=A02+K1.B1-X21-X21.3F:24,,panel,=Q01+K1.B1-W5(-P2):X3:1,,panel,BU
1023,=Q01+K1.B1-W5(-P2):X3:1,,panel,=A02+K1.B1-X21-X21.3F:24,,panel,BU
1026,=V01+K1.B1-W6(-P2):X1:5,,panel,=V01+K1.B1-W5(-P2):X1:9,,panel,BU
1026,=V01+K1.B1-W5(-P2):X1:9,,panel,=V01+K1.B1-W6(-P2):X1:5,,panel,BU
1027,=Q15+K1.G1-G1:X2.L,,panel,=Q15+K1.B1-X20:1:4,,panel,1
