id,FTID,belongtoDevice,Function,Location,Device,Type,description,voltage,current,resistance,isSocket,isSetPoint,isSensePoint
1,=A01+K1.H2-Q1:D2,A01+K1.H2-Q1,A01,K1.H2,Q1,Unknown,D2,0,0,0,0,0,0
2,=A01+K1.B1-K3:14,A01+K1.B1-K3,A01,K1.B1,K3,Unknown,14,0,0,0,0,0,0
3,=A01+K1.H2-W0:L1,A01+K1.H2-W0,A01,K1.H2,W0,Unknown,L1,0,0,0,0,0,0
4,=A01+K1.H2-Q1:T1,A01+K1.H2-Q1,A01,K1.H2,Q1,Unknown,T1,0,0,0,0,0,0
5,=A01+K1.H2-F0:2,A01+K1.H2-F0,A01,K1.H2,F0,Unknown,2,0,0,0,0,0,0
6,=A01+K1.H2-Q1:L1,A01+K1.H2-Q1,A01,K1.H2,Q1,Unknown,L1,0,0,0,0,0,0
8,=A01+K1.H2-Q2:L1,A01+K1.H2-Q2,A01,K1.H2,Q2,Unknown,L1,0,0,0,0,0,0
9,=A01+K1.H2-W0:L2,A01+K1.H2-W0,A01,K1.H2,W0,Unknown,L2,0,0,0,0,0,0
10,=A01+K1.H2-Q1:T2,A01+K1.H2-Q1,A01,K1.H2,Q1,Unknown,T2,0,0,0,0,0,0
11,=A01+K1.H2-F0:4,A01+K1.H2-F0,A01,K1.H2,F0,Unknown,4,0,0,0,0,0,0
12,=A01+K1.H2-Q1:L2,A01+K1.H2-Q1,A01,K1.H2,Q1,Unknown,L2,0,0,0,0,0,0
14,=A01+K1.H2-Q2:L2,A01+K1.H2-Q2,A01,K1.H2,Q2,Unknown,L2,0,0,0,0,0,0
15,=A01+K1.H2-W0:L3,A01+K1.H2-W0,A01,K1.H2,W0,Unknown,L3,0,0,0,0,0,0
16,=A01+K1.H2-Q1:T3,A01+K1.H2-Q1,A01,K1.H2,Q1,Unknown,T3,0,0,0,0,0,0
17,=A01+K1.H2-Q1:L3,A01+K1.H2-Q1,A01,K1.H2,Q1,Unknown,L3,0,0,0,0,0,0
18,=A01+K1.H2-F0:6,A01+K1.H2-F0,A01,K1.H2,F0,Unknown,6,0,0,0,0,0,0
20,=A01+K1.H2-Q2:L3,A01+K1.H2-Q2,A01,K1.H2,Q2,Unknown,L3,0,0,0,0,0,0
21,=A01+K1.H2-X1:N:2,A01+K1.H2-X1,A01,K1.H2,X1,Terminal_Point,N:2,0,0,0,0,0,0
22,=A01+K1.H2-X1:N:1,A01+K1.H2-X1,A01,K1.H2,X1,Terminal_Point,N:1,0,0,0,0,0,0
24,=A02+K1.H2-X5:N:1,A02+K1.H2-X5,A02,K1.H2,X5,Terminal_Point,N:1,0,0,0,0,0,0
26,=A01+K1.H2-X1:PE:2,A01+K1.H2-X1,A01,K1.H2,X1,Terminal_Point,PE:2,0,0,0,0,0,0
27,=A01+S1-W0:PE,A01+S1-W0,A01,S1,W0,Unknown,PE,0,0,0,0,0,0
28,=A01+K1.H2-X1:PE:4,A01+K1.H2-X1,A01,K1.H2,X1,Terminal_Point,PE:4,0,0,0,0,0,0
29,=A02+K1.H2-W20:SE,A02+K1.H2-W20,A02,K1.H2,W20,Unknown,SE,0,0,0,0,0,0
30,=A01+K1.H2-X1:PE:3,A01+K1.H2-X1,A01,K1.H2,X1,Terminal_Point,PE:3,0,0,0,0,0,0
32,=A02+K1.H2-X6:PE:1,A02+K1.H2-X6,A02,K1.H2,X6,Terminal_Point,PE:1,0,0,0,0,0,0
33,=A01+K1.H2-Q1:3.14,A01+K1.H2-Q1,A01,K1.H2,Q1,Unknown,3.14,0,0,0,0,0,0
34,=A01+K1.H2-G1:SEC:31,A01+K1.H2-G1,A01,K1.H2,G1,Unknown,SEC:31,0,0,0,0,0,0
35,=A01+K1.H2-Q1:3.13,A01+K1.H2-Q1,A01,K1.H2,Q1,Unknown,3.13,0,0,0,0,0,0
36,=A01+K1.H2-Q1:D1,A01+K1.H2-Q1,A01,K1.H2,Q1,Unknown,D1,0,0,0,0,0,0
38,=A01+K1.H2-X1:PE:1,A01+K1.H2-X1,A01,K1.H2,X1,Terminal_Point,PE:1,0,0,0,0,0,0
40,=A01+K1.H2-G1:PRI:PE,A01+K1.H2-G1,A01,K1.H2,G1,Unknown,PRI:PE,0,0,0,0,0,0
41,=A01+K1.H2-Q2:T1,A01+K1.H2-Q2,A01,K1.H2,Q2,Unknown,T1,0,0,0,0,0,0
42,=A01+K1.H2-G1:PRI:1,A01+K1.H2-G1,A01,K1.H2,G1,Unknown,PRI:1,0,0,0,0,0,0
43,=A01+K1.H2-G1:SEC:32,A01+K1.H2-G1,A01,K1.H2,G1,Unknown,SEC:32,0,0,0,0,0,0
44,=A02+K1.B1-X20-X20.5F:20,A02+K1.B1-X20-X20.5F,A02,K1.B1,X20-X20.5F,Terminal_Point,20,0,0,0,1,0,0
45,=A01+K1.H2-Q2:T2,A01+K1.H2-Q2,A01,K1.H2,Q2,Unknown,T2,0,0,0,0,0,0
46,=A01+K1.H2-G1:PRI:2,A01+K1.H2-G1,A01,K1.H2,G1,Unknown,PRI:2,0,0,0,0,0,0
47,=A01+K1.H2-Q2:T3,A01+K1.H2-Q2,A01,K1.H2,Q2,Unknown,T3,0,0,0,0,0,0
48,=A01+K1.H2-X1:5:3,A01+K1.H2-X1,A01,K1.H2,X1,Terminal_Point,5:3,0,0,0,0,0,0
50,=A01+K1.H2-X1:7:3,A01+K1.H2-X1,A01,K1.H2,X1,Terminal_Point,7:3,0,0,0,0,0,0
51,=A01+K1.B1-K3:11,A01+K1.B1-K3,A01,K1.B1,K3,Unknown,11,0,0,0,0,0,0
52,=A01+K1.H2-X1:3:4,A01+K1.H2-X1,A01,K1.H2,X1,Terminal_Point,3:4,0,0,0,0,0,0
53,=A01+K1.H2-X1:2:5,A01+K1.H2-X1,A01,K1.H2,X1,Terminal_Point,2:5,0,0,0,0,0,0
54,=A02+K1.B1-A3:13,A02+K1.B1-A3,A02,K1.B1,A3,Unknown,13,0,0,0,0,0,0
55,=A01+K1.G2-S1:4,A01+K1.G2-S1,A01,K1.G2,S1,Unknown,4,0,0,0,0,0,0
56,=A01+K1.H2-X1:2:2,A01+K1.H2-X1,A01,K1.H2,X1,Terminal_Point,2:2,0,0,0,0,0,0
57,=A01+K1.H2-X1:1:4,A01+K1.H2-X1,A01,K1.H2,X1,Terminal_Point,1:4,0,0,0,0,0,0
58,=A01+K1.G2-S1:3,A01+K1.G2-S1,A01,K1.G2,S1,Unknown,3,0,0,0,0,0,0
59,=A01+K1.B1-W7(-P1):P1:1,A01+K1.B1-W7(-P1),A01,K1.B1,W7(-P1),Unknown,P1:1,0,0,0,0,0,0
60,=A01+K1.H2-X1:1:3,A01+K1.H2-X1,A01,K1.H2,X1,Terminal_Point,1:3,0,0,0,0,0,0
61,=A01+K1.G2-S1:2,A01+K1.G2-S1,A01,K1.G2,S1,Unknown,2,0,0,0,0,0,0
62,=A01+K1.H2-X1:3:3,A01+K1.H2-X1,A01,K1.H2,X1,Terminal_Point,3:3,0,0,0,0,0,0
63,=A01+K1.G2-S1:1,A01+K1.G2-S1,A01,K1.G2,S1,Unknown,1,0,0,0,0,0,0
64,=A01+K1.H2-X1:4:2,A01+K1.H2-X1,A01,K1.H2,X1,Terminal_Point,4:2,0,0,0,0,0,0
65,=A01+K1.H2-X1:4:5,A01+K1.H2-X1,A01,K1.H2,X1,Terminal_Point,4:5,0,0,0,0,0,0
66,=A02+K1.B1-X20-X20.5F:19,A02+K1.B1-X20-X20.5F,A02,K1.B1,X20-X20.5F,Terminal_Point,19,0,0,0,1,0,0
67,=A02+K1.B1-X20-X20.5F:18,A02+K1.B1-X20-X20.5F,A02,K1.B1,X20-X20.5F,Terminal_Point,18,0,0,0,1,0,0
68,=A02+K1.B1-A3:14,A02+K1.B1-A3,A02,K1.B1,A3,Unknown,14,0,0,0,0,0,0
69,=A01+S1-S3:4,A01+S1-S3,A01,S1,S3,Unknown,4,0,0,0,0,0,0
70,=A02+K1.B1-X20-X20.5M:18,A02+K1.B1-X20-X20.5M,A02,K1.B1,X20-X20.5M,Terminal_Point,18,0,0,0,1,0,0
71,=A02+K1.B1-X20-X20.5F:17,A02+K1.B1-X20-X20.5F,A02,K1.B1,X20-X20.5F,Terminal_Point,17,0,0,0,1,0,0
72,=A01+S1-S3:1,A01+S1-S3,A01,S1,S3,Unknown,1,0,0,0,0,0,0
